model,horizon,smape,ci_low,ci_high,mae,n_windows
timesfm,1,6.103179384080956,4.471490781677799,7.871634482746429,485.52151587701616,31
timesfm,2,7.774750549196045,6.120232181414018,9.672359737239375,619.9074943296371,31
timesfm,3,7.60976023723558,5.540528089448822,9.871715972456343,614.0971207157259,31
timesfm,4,7.286528827272049,5.080242996246746,9.743615601015321,589.2258537046371,31
timesfm,5,7.377345043775698,5.303339263708876,9.748373984924264,594.7312247983871,31
timesfm,6,7.646270152723193,5.509053338607927,10.111108791008732,612.6549584173387,31
sarima,1,6.004189225958693,4.397594113247713,7.808263472741865,482.50143737668213,31
sarima,2,8.24400982285456,6.178914311293321,10.530998346562637,655.8524161497255,31
sarima,3,8.479667715912608,6.291789102395754,10.843250936423356,681.13252150485,31
sarima,4,7.92633756754263,5.820285694774947,10.145460889157278,643.0347262168932,31
sarima,5,6.839106957104261,4.652577735659208,9.241729037857777,561.1079533728569,31
sarima,6,7.2305484209256825,5.040633902666176,9.642937301498382,597.4063851985197,31
prophet,1,7.269503552082309,4.724216953798864,10.248063238634382,544.504448983747,31
prophet,2,6.993329402829818,5.01177379605631,9.236044093825047,550.0347101571336,31
prophet,3,7.37985847520387,5.537179995836073,9.37158805885505,593.1582726972272,31
prophet,4,7.948098837459875,6.00868304980128,9.939140920936143,639.1074074002022,31
prophet,5,7.781702908356423,5.85804845140696,9.87854942281847,637.698486118842,31
prophet,6,8.72121769118734,6.832568183592647,10.737417561981662,718.32393455406,31
