model,mae,rmse,smape,n_predictions,seconds
xgboost_base,517.6147674264259,690.4902909035961,6.832390134959835,618,14.1
xgboost_roll,528.7075037292678,701.3398081071792,6.976082156497007,618,14.1
xgboost_cal,504.9368292058556,678.7098211586737,6.6591939883173605,618,12.8
xgboost_diff12,476.3141962430624,662.5188539664437,6.2822645746331185,618,11.9
xgboost_full,486.9688783284626,673.9584309331856,6.42850532062017,618,16.4
xgboost_direct,488.531500475451,684.8399267414871,6.387410254701692,618,40.6
catboost_base,500.8982993433619,673.5550737132528,6.589326365902394,618,19.8
catboost_roll,515.2566300147504,688.3512986098186,6.785531816079056,618,27.2
catboost_cal,474.7470432972416,630.5059088871494,6.27090418196158,618,26.5
catboost_diff12,471.376709504732,649.429759157405,6.20311648103376,618,21.8
catboost_full,466.2818576740481,648.625529614045,6.1350859423129895,618,26.9
catboost_direct,464.78536883937346,650.0903578490022,6.092140925479252,618,65.7
