date,value
2010-01-01,6107
2010-02-01,5843
2010-03-01,6079
2010-04-01,6332
2010-05-01,6934
2010-06-01,7382
2010-07-01,7182
2010-08-01,7481
2010-09-01,6890
2010-10-01,6706
2010-11-01,6507
2010-12-01,6490
2011-01-01,6735
2011-02-01,5811
2011-03-01,6554
2011-04-01,6156
2011-05-01,6952
2011-06-01,7924
2011-07-01,7913
2011-08-01,7172
2011-09-01,6719
2011-10-01,6590
2011-11-01,6208
2011-12-01,6448
2012-01-01,6060
2012-02-01,5991
2012-03-01,6189
2012-04-01,6004
2012-05-01,7272
2012-06-01,7304
2012-07-01,8148
2012-08-01,6976
2012-09-01,6837
2012-10-01,6738
2012-11-01,6054
2012-12-01,6579
2013-01-01,6205
2013-02-01,5881
2013-03-01,6331
2013-04-01,6640
2013-05-01,7283
2013-06-01,7291
2013-07-01,8023
2013-08-01,7855
2013-09-01,7054
2013-10-01,6880
2013-11-01,6314
2013-12-01,6542
2014-01-01,6488
2014-02-01,6569
2014-03-01,6318
2014-04-01,6313
2014-05-01,7512
2014-06-01,7418
2014-07-01,7417
2014-08-01,7605
2014-09-01,6781
2014-10-01,7110
2014-11-01,6327
2014-12-01,6734
2015-01-01,7184
2015-02-01,5958
2015-03-01,6658
2015-04-01,7069
2015-05-01,8099
2015-06-01,7868
2015-07-01,7986
2015-08-01,7251
2015-09-01,7163
2015-10-01,6690
2015-11-01,6392
2015-12-01,6753
2016-01-01,6753
2016-02-01,6385
2016-03-01,7164
2016-04-01,7192
2016-05-01,7743
2016-06-01,8767
2016-07-01,8479
2016-08-01,7890
2016-09-01,7317
2016-10-01,7426
2016-11-01,6700
2016-12-01,6994
2017-01-01,6788
2017-02-01,6271
2017-03-01,6794
2017-04-01,6884
2017-05-01,7651
2017-06-01,8009
2017-07-01,8694
2017-08-01,8130
2017-09-01,7446
2017-10-01,7282
2017-11-01,6830
2017-12-01,6946
2018-01-01,6886
2018-02-01,5960
2018-03-01,6930
2018-04-01,6769
2018-05-01,7511
2018-06-01,8057
2018-07-01,8175
2018-08-01,8328
2018-09-01,7325
2018-10-01,7202
2018-11-01,7161
2018-12-01,7409
2019-01-01,7117
2019-02-01,6307
2019-03-01,7067
2019-04-01,7108
2019-05-01,7776
2019-06-01,8274
2019-07-01,8919
2019-08-01,8180
2019-09-01,7664
2019-10-01,7254
2019-11-01,6785
2019-12-01,6987
2020-01-01,7194
2020-02-01,6848
2020-03-01,7324
2020-04-01,5978
2020-05-01,7062
2020-06-01,6948
2020-07-01,7392
2020-08-01,7678
2020-09-01,7005
2020-10-01,7385
2020-11-01,6872
2020-12-01,6781
2021-01-01,6917
2021-02-01,6217
2021-03-01,7569
2021-04-01,6917
2021-05-01,8253
2021-06-01,8153
2021-07-01,9251
2021-08-01,8830
2021-09-01,7512
2021-10-01,7656
2021-11-01,7603
2021-12-01,8237
2022-01-01,9582
2022-02-01,7227
2022-03-01,7504
2022-04-01,7589
2022-05-01,8846
2022-06-01,9057
2022-07-01,8699
2022-08-01,8834
2022-09-01,8228
2022-10-01,8388
2022-11-01,7588
2022-12-01,7850
2023-01-01,7563
2023-02-01,6551
2023-03-01,7507
2023-04-01,7745
2023-05-01,8600
2023-06-01,9151
2023-07-01,9183
2023-08-01,8297
2023-09-01,7823
2023-10-01,7507
2023-11-01,8107
2023-12-01,7504
