date,tmin,tmed
2010-01-01,20.21,23.51
2010-02-01,20.49,24.49
2010-03-01,19.28,22.73
2010-04-01,17.07,20.4
2010-05-01,14.98,18.26
2010-06-01,12.94,16.63
2010-07-01,14.49,18.17
2010-08-01,12.91,17.28
2010-09-01,15.61,19.43
2010-10-01,15.03,18.4
2010-11-01,17.07,20.77
2010-12-01,19.34,22.51
2011-01-01,20.26,23.49
2011-02-01,20.32,24.05
2011-03-01,18.86,21.42
2011-04-01,17.94,21.22
2011-05-01,14.38,17.44
2011-06-01,11.89,15.76
2011-07-01,13.37,17.35
2011-08-01,14.06,18.12
2011-09-01,13.63,18.0
2011-10-01,16.56,20.08
2011-11-01,15.92,19.62
2011-12-01,18.25,21.81
2012-01-01,17.86,20.99
2012-02-01,20.25,24.13
2012-03-01,18.39,22.17
2012-04-01,17.91,20.93
2012-05-01,14.67,17.8
2012-06-01,14.59,17.5
2012-07-01,13.56,17.52
2012-08-01,14.39,18.67
2012-09-01,15.66,20.0
2012-10-01,17.51,21.91
2012-11-01,17.33,20.54
2012-12-01,20.55,24.09
2013-01-01,18.84,21.5
2013-02-01,19.15,23.02
2013-03-01,18.82,21.79
2013-04-01,16.43,19.77
2013-05-01,15.18,18.56
2013-06-01,15.09,18.02
2013-07-01,12.39,16.13
2013-08-01,12.91,17.65
2013-09-01,14.86,18.92
2013-10-01,16.08,19.53
2013-11-01,17.69,21.26
2013-12-01,19.43,23.01
2014-01-01,20.0,24.95
2014-02-01,21.09,25.33
2014-03-01,19.34,22.75
2014-04-01,17.59,20.77
2014-05-01,15.16,18.55
2014-06-01,14.75,18.44
2014-07-01,13.95,17.43
2014-08-01,13.57,18.23
2014-09-01,16.02,20.18
2014-10-01,16.75,21.35
2014-11-01,17.99,21.3
2014-12-01,19.2,23.07
2015-01-01,21.15,25.15
2015-02-01,19.92,23.22
2015-03-01,18.95,21.88
2015-04-01,17.79,20.69
2015-05-01,15.75,18.45
2015-06-01,14.21,17.89
2015-07-01,14.28,17.89
2015-08-01,15.01,19.85
2015-09-01,16.81,20.89
2015-10-01,17.99,21.83
2015-11-01,19.16,22.12
2015-12-01,19.94,23.2
2016-01-01,19.51,22.75
2016-02-01,20.59,24.1
2016-03-01,19.75,22.9
2016-04-01,19.48,23.65
2016-05-01,14.93,17.94
2016-06-01,11.87,15.3
2016-07-01,13.32,17.62
2016-08-01,13.74,17.93
2016-09-01,15.24,18.43
2016-10-01,16.84,20.26
2016-11-01,17.11,20.59
2016-12-01,19.06,23.06
2017-01-01,19.96,23.1
2017-02-01,20.29,24.36
2017-03-01,18.89,22.15
2017-04-01,17.12,20.14
2017-05-01,15.7,18.87
2017-06-01,14.12,17.69
2017-07-01,12.35,16.43
2017-08-01,13.68,17.28
2017-09-01,16.29,21.27
2017-10-01,17.27,21.32
2017-11-01,16.74,20.64
2017-12-01,19.15,22.43
2018-01-01,19.5,22.64
2018-02-01,18.81,22.14
2018-03-01,20.09,23.5
2018-04-01,17.68,21.14
2018-05-01,15.34,19.07
2018-06-01,14.93,18.46
2018-07-01,14.1,18.55
2018-08-01,13.55,16.99
2018-09-01,15.63,19.1
2018-10-01,16.89,19.84
2018-11-01,17.59,20.85
2018-12-01,19.08,23.26
2019-01-01,20.58,25.09
2019-02-01,19.41,23.06
2019-03-01,19.15,22.56
2019-04-01,18.81,22.24
2019-05-01,17.11,20.43
2019-06-01,15.21,19.02
2019-07-01,12.62,16.98
2019-08-01,13.55,17.56
2019-09-01,16.19,19.88
2019-10-01,17.97,22.14
2019-11-01,17.78,21.26
2019-12-01,18.91,22.44
2020-01-01,19.22,22.91
2020-02-01,18.92,21.78
2020-03-01,17.79,21.44
2020-04-01,16.36,20.09
2020-05-01,13.49,17.72
2020-06-01,15.67,19.25
2020-07-01,14.22,18.46
2020-08-01,13.3,17.55
2020-09-01,17.39,21.9
2020-10-01,17.51,21.56
2020-11-01,16.64,20.57
2020-12-01,19.06,22.53
2021-01-01,20.57,23.95
2021-02-01,18.92,22.56
2021-03-01,19.72,23.51
2021-04-01,16.63,19.81
2021-05-01,14.7,18.51
2021-06-01,14.16,17.28
2021-07-01,10.99,15.71
2021-08-01,14.32,18.34
2021-09-01,16.45,20.88
2021-10-01,15.82,18.67
2021-11-01,16.79,20.66
2021-12-01,17.89,21.29
2022-01-01,19.47,22.59
2022-02-01,19.42,22.93
2022-03-01,19.81,23.59
2022-04-01,17.61,21.12
2022-05-01,14.18,17.73
2022-06-01,13.67,17.16
2022-07-01,14.57,19.19
2022-08-01,13.13,17.13
2022-09-01,13.23,16.75
2022-10-01,16.99,20.74
2022-11-01,15.61,19.27
2022-12-01,18.32,21.63
2023-01-01,18.92,22.28
2023-02-01,19.48,22.91
2023-03-01,19.35,23.07
2023-04-01,17.07,20.26
2023-05-01,15.43,19.06
2023-06-01,13.78,17.78
2023-07-01,13.9,17.86
2023-08-01,15.47,19.48
2023-09-01,17.66,22.72
2023-10-01,17.8,21.26
2023-11-01,19.17,23.64
2023-12-01,19.77,24.2
