model,horizon,smape,ci_low,ci_high,mae,n_windows
sarima,1,4.162529167788267,3.452321400910873,4.9580943043510075,313.3307274306492,103
sarima,2,4.697063442227133,3.8793022165117175,5.611071671233515,357.2234421325057,103
sarima,3,4.765217071363645,3.91742022695028,5.72791133566098,360.7689655525506,103
sarima,4,4.809589736485122,3.9520735996248724,5.752601952435304,362.3871461989306,103
sarima,5,5.112938908033563,4.2805935682850444,6.052147293597859,388.152646821423,103
sarima,6,5.226574590927826,4.387231572198614,6.194133096245022,397.68058107196595,103
sarima_temp,1,4.0447752472153695,3.357703159670933,4.816537375279303,304.2199579649,103
sarima_temp,2,4.5466289162054245,3.749983203820978,5.432476894342312,345.9453787834396,103
sarima_temp,3,4.733086570882827,3.8827241155096446,5.683185671246576,359.7985912688644,103
sarima_temp,4,4.690777701125344,3.8111269007127473,5.648136578554631,353.25716328847784,103
sarima_temp,5,4.8652667648875,4.016626877242542,5.804177235681418,368.75603828780146,103
sarima_temp,6,5.07848250827632,4.260382175573319,5.995631925290404,385.15358924556995,103
xgboost,1,6.022708412843231,5.128534461065276,7.000247809666527,450.92615101638347,103
xgboost,2,6.741927827342047,5.658567434726305,7.902813878160069,509.65485152457524,103
xgboost,3,7.160615151356953,6.033338148863421,8.374512225642194,543.9932351714199,103
xgboost,4,7.3218688890252235,6.174922363049395,8.52477708080468,557.1112807190534,103
xgboost,5,7.142224990559372,5.984199936494211,8.366752220465289,545.5905169144418,103
xgboost,6,7.22081608324373,6.041341136035078,8.489029578174893,552.1769616580704,103
xgboost_temp,1,5.697998265370815,4.831882775530427,6.651216354129604,426.4503849362864,103
xgboost_temp,2,6.432253345449048,5.412420543589729,7.5283735565210215,485.7130802487864,103
xgboost_temp,3,6.837402207612182,5.728089733106919,8.033906644688624,518.6909369311286,103
xgboost_temp,4,6.9607621804997155,5.879770430877084,8.09450450751242,528.6357943340413,103
xgboost_temp,5,6.786763166013245,5.704304660579876,7.9364406663643745,516.7652030870753,103
xgboost_temp,6,6.60172188893619,5.499110795909494,7.794175768190123,503.22537735133494,103
catboost,1,5.715388805327329,4.870398106081207,6.632588860117528,428.2898469019102,103
catboost,2,6.380121454881014,5.351669850087415,7.485739440206188,483.67897494416025,103
catboost,3,6.755984732516175,5.65624879717928,7.9441841911864906,514.1128635193031,103
catboost,4,6.907877705047796,5.839266001651068,8.017054106118707,526.7377379821274,103
catboost,5,6.8021597086393335,5.71604898977458,7.966152122179178,520.3037215754904,103
catboost,6,6.974425789028904,5.84153920878635,8.182006152988855,532.2666511371799,103
catboost_temp,1,5.710054090958097,4.854463971397309,6.624698734299908,426.89629099376015,103
catboost_temp,2,6.2994873882761695,5.355630318184553,7.30986859814909,474.5238513578614,103
catboost_temp,3,6.494294935831031,5.4839486346056825,7.597640935435191,492.1933605542195,103
catboost_temp,4,6.551740929177721,5.514909323284712,7.626217580451398,496.3714710037506,103
catboost_temp,5,6.4399112434585515,5.428057046030459,7.511407848992292,489.8131824035815,103
catboost_temp,6,6.491665980957567,5.475995490751035,7.601118481937154,492.26107411015715,103
