model,horizon,smape,ci_low,ci_high,mae,n_windows
sarima,1,4.162529167788267,3.4263754456481608,4.96302548177571,313.3307274306492,103
sarima,2,4.697063442227133,3.8696926984943545,5.583151740210671,357.2234421325057,103
sarima,3,4.765217071363645,3.9179436788318207,5.7343913772575945,360.7689655525506,103
sarima,4,4.809589736485122,3.941317889638601,5.742646029887236,362.3871461989306,103
sarima,5,5.112938908033563,4.279347475537935,6.052299000416354,388.152646821423,103
sarima,6,5.226574590927826,4.363042244575593,6.175127937640335,397.68058107196595,103
sarima_slide60,1,4.421323618581799,3.6580000636394603,5.226617695787267,334.07160743632005,103
sarima_slide60,2,5.389932122322945,4.466564717879094,6.393009638787796,411.71432580557007,103
sarima_slide60,3,5.850290296374132,4.904981804946742,6.85022744787469,447.06207234452444,103
sarima_slide60,4,5.691809843547129,4.758451650500457,6.722262393781559,432.1067335825367,103
sarima_slide60,5,5.566886400444176,4.6782926732066485,6.490344121864749,421.9773114573342,103
sarima_slide60,6,5.832325311885007,4.927592300488441,6.783974754579231,446.05505534156833,103
prophet,1,4.353822326002595,3.495565847772042,5.29618716066492,326.6498983634549,103
prophet,2,4.451976140108256,3.5771230946645445,5.403071985549302,335.4451225603142,103
prophet,3,4.645585470122514,3.782319938623148,5.599297776043958,350.81438110546736,103
prophet,4,4.820899276822309,3.941304002784735,5.792607695225137,364.81681477581606,103
prophet,5,4.929367570997466,4.056831544071467,5.8747594803129735,373.9627404387097,103
prophet,6,5.004142021008075,4.115483972399446,5.9667428596352545,379.3425062996364,103
prophet_slide60,1,4.72433494244999,3.911060928221918,5.607223146769097,353.9781083737795,103
prophet_slide60,2,4.978793259254043,4.077044275622565,5.930249390076973,374.94994209395276,103
prophet_slide60,3,5.239058801603659,4.319567651563356,6.1854383163476445,395.0180607749396,103
prophet_slide60,4,5.531245709728515,4.592739497506381,6.533724362364621,417.2509808615944,103
prophet_slide60,5,5.766094905033189,4.817053884525686,6.787751443634561,436.42576226197883,103
prophet_slide60,6,6.105753933979787,5.097145175979848,7.197651269607187,463.96183570784353,103
timesfm,1,4.296678968760849,3.567148305080982,5.082322096448854,321.5026073270631,103
timesfm,2,4.620754185904171,3.8361117611568623,5.513496275204607,349.3887335027306,103
timesfm,3,4.899821251563227,4.052834721102832,5.830717078444755,371.39556469963594,103
timesfm,4,5.107384632749782,4.269768557637221,6.0457221493408095,387.97750587833735,103
timesfm,5,4.972939776004499,4.0752355817720955,5.942291831499656,378.3106843522451,103
timesfm,6,5.097546632129389,4.1930607234271315,6.13021951069086,387.65826001213594,103
timesfm_slide60,1,4.17765392119198,3.44430779496539,4.9566749325098165,312.4480383419296,103
timesfm_slide60,2,4.694642597568209,3.935978566662423,5.554281530738805,356.16528083282765,103
timesfm_slide60,3,4.950714255881292,4.09007595613294,5.86664424758986,375.25070634860435,103
timesfm_slide60,4,4.8749798441457335,4.021065322709842,5.782362121051915,369.36538133343447,103
timesfm_slide60,5,4.844428650432645,4.019249217317617,5.753844829679872,367.82770308707524,103
timesfm_slide60,6,4.925877764933125,4.081355577432347,5.840776624932986,375.98348850879853,103
xgboost,1,6.022708412843231,5.120809075453294,6.972075334270548,450.92615101638347,103
xgboost,2,6.741927827342047,5.673660019894395,7.92092251631402,509.65485152457524,103
xgboost,3,7.160615151356953,6.05332070993657,8.35166680729628,543.9932351714199,103
xgboost,4,7.3218688890252235,6.194540688615277,8.533001871054106,557.1112807190534,103
xgboost,5,7.142224990559372,5.945260544017298,8.370036228881242,545.5905169144418,103
xgboost,6,7.22081608324373,6.044075599222385,8.500352170447632,552.1769616580704,103
xgboost_slide60,1,5.74367046524168,4.879426432578818,6.64491797385244,429.96819535042476,103
xgboost_slide60,2,6.808778246545509,5.7614901222631945,7.895917310970931,514.0810546875,103
xgboost_slide60,3,7.220455153524586,6.069949422245377,8.477680483711982,549.106962037318,103
xgboost_slide60,4,7.043038234648715,5.889202205895894,8.268319416590673,535.3047917930825,103
xgboost_slide60,5,7.270992424719431,6.186192779553662,8.413374197330269,553.9262505688714,103
xgboost_slide60,6,7.107098501843283,5.99047283083659,8.311322231243341,541.9363290731189,103
catboost,1,5.715388805327329,4.855475127989048,6.628063247704859,428.2898469019102,103
catboost,2,6.380121454881014,5.349577072413795,7.472942705068912,483.67897494416025,103
catboost,3,6.755984732516175,5.652113378467175,7.972826285390017,514.1128635193031,103
catboost,4,6.907877705047796,5.848717748758484,8.052002999164571,526.7377379821274,103
catboost,5,6.8021597086393335,5.690448315734355,7.942073753812265,520.3037215754904,103
catboost,6,6.974425789028904,5.852819788201296,8.174964525905377,532.2666511371799,103
catboost_slide60,1,5.566452098805002,4.668574436645953,6.499414577509692,417.9192857181857,103
catboost_slide60,2,6.561920009889404,5.495128892504381,7.700496606963711,495.4390667003699,103
catboost_slide60,3,6.868312202247976,5.71250066059795,8.132244016221234,521.8578768252709,103
catboost_slide60,4,7.067995645721652,5.953610147260634,8.260375488508728,536.3758283449864,103
catboost_slide60,5,6.875214169023594,5.740001567261177,8.10054947838201,522.6470826630223,103
catboost_slide60,6,6.9143339536461275,5.764523240744936,8.150590776078788,526.8281802039877,103
